Model,Image,IOU,Dice
default,11271246_11271427_11271746_ch4.jpg,0.0,0.0
default,12042203_12050122_12050255_ch4.jpg,0.0,0.0
default,11270923_11271246_11271427_ch4.jpg,0.0,0.0
default,12170733_12170818_12170915_12171056_12171335_ch4.jpg,0.0,0.0
default,12160744_12160842_12160925_12161247_12161359_ch4.jpg,0.0,0.0
p1e1,11271246_11271427_11271746_ch4.jpg,0.0,0.0
p1e1,12042203_12050122_12050255_ch4.jpg,0.0,0.0
p1e1,11270923_11271246_11271427_ch4.jpg,0.0,0.0
p1e1,12170733_12170818_12170915_12171056_12171335_ch4.jpg,0.0,0.0
p1e1,12160744_12160842_12160925_12161247_12161359_ch4.jpg,0.0,0.0
p1e3,11271246_11271427_11271746_ch4.jpg,0.0,0.0
p1e3,12042203_12050122_12050255_ch4.jpg,0.0,0.0
p1e3,11270923_11271246_11271427_ch4.jpg,0.0,0.0
p1e3,12170733_12170818_12170915_12171056_12171335_ch4.jpg,0.0,0.0
p1e3,12160744_12160842_12160925_12161247_12161359_ch4.jpg,0.0,0.0
p1e5,11271246_11271427_11271746_ch4.jpg,0.0,0.0
p1e5,12042203_12050122_12050255_ch4.jpg,0.0,0.0
p1e5,11270923_11271246_11271427_ch4.jpg,0.0,0.0
p1e5,12170733_12170818_12170915_12171056_12171335_ch4.jpg,0.0,0.0
p1e5,12160744_12160842_12160925_12161247_12161359_ch4.jpg,0.0,0.0
p2e3,11271246_11271427_11271746_ch4.jpg,0.0,0.0
p2e3,12042203_12050122_12050255_ch4.jpg,0.0,0.0
p2e3,11270923_11271246_11271427_ch4.jpg,0.0,0.0
p2e3,12170733_12170818_12170915_12171056_12171335_ch4.jpg,0.0,0.0
p2e3,12160744_12160842_12160925_12161247_12161359_ch4.jpg,0.0,0.0
p2e5,11271246_11271427_11271746_ch4.jpg,0.0,0.0
p2e5,12042203_12050122_12050255_ch4.jpg,0.0,0.0
p2e5,11270923_11271246_11271427_ch4.jpg,0.0,0.0
p2e5,12170733_12170818_12170915_12171056_12171335_ch4.jpg,0.0,0.0
p2e5,12160744_12160842_12160925_12161247_12161359_ch4.jpg,0.0,0.0
p3e1,11271246_11271427_11271746_ch4.jpg,0.0,0.0
p3e1,12042203_12050122_12050255_ch4.jpg,0.0,0.0
p3e1,11270923_11271246_11271427_ch4.jpg,0.0,0.0
p3e1,12170733_12170818_12170915_12171056_12171335_ch4.jpg,0.0,0.0
p3e1,12160744_12160842_12160925_12161247_12161359_ch4.jpg,0.0,0.0
p3e3,11271246_11271427_11271746_ch4.jpg,0.0,0.0
p3e3,12042203_12050122_12050255_ch4.jpg,0.0,0.0
p3e3,11270923_11271246_11271427_ch4.jpg,0.0,0.0
p3e3,12170733_12170818_12170915_12171056_12171335_ch4.jpg,0.0,0.0
p3e3,12160744_12160842_12160925_12161247_12161359_ch4.jpg,0.0,0.0
p3e5,11271246_11271427_11271746_ch4.jpg,0.0,0.0
p3e5,12042203_12050122_12050255_ch4.jpg,0.0,0.0
p3e5,11270923_11271246_11271427_ch4.jpg,0.0,0.0
